Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type,Engagement Rate,Day of the Week,Hour
2023-03-31 19:43:00,CSGO,Twitter,Community Engagement ,9517,1215,Video,0.1276662813911947,Friday,19
2023-03-31 19:40:00,CSGO,Twitter,Community Engagement ,1882,83,Photo,0.04410201912858661,Friday,19
2023-03-31 19:23:00,CSGO,Twitter,Community Engagement ,17892,3076,Video,0.17192041135703107,Friday,19
2023-03-31 18:55:00,CSGO,Twitter,Community Engagement ,13874,1447,Video,0.10429580510307049,Friday,18
2023-03-31 18:36:00,General,Facebook,Community Engagement ,37692,8044,Photo,0.21341398705295553,Friday,18
2023-03-31 18:30:00,DOTA2,Twitter,N/A ,1013,153,Link,0.1510365251727542,Friday,18
2023-03-31 18:28:00,DOTA2,Twitter,N/A ,4630,339,Photo,0.07321814254859611,Friday,18
2023-03-31 18:21:00,CSGO,Twitter,Community Engagement ,2289,41,Photo,0.017911751856705984,Friday,18
2023-03-31 17:11:00,General,Twitter,Community Engagement ,5216,113,Text,0.021664110429447853,Friday,17
2023-03-31 17:09:00,CSGO,Twitter,Community Engagement ,841,13,Photo,0.015457788347205707,Friday,17
2023-03-31 16:50:00,General,Twitter,Community Engagement ,6498,123,Text,0.018928901200369344,Friday,16
2023-03-31 16:50:00,General,Twitter,Community Engagement ,8321,133,Text,0.015983655810599687,Friday,16
2023-03-31 16:38:00,General,Twitter,Community Engagement ,953,36,Text,0.03777544596012592,Friday,16
2023-03-31 16:22:00,DOTA2,Twitter,Community Engagement ,954,28,Photo,0.029350104821802937,Friday,16
2023-03-31 16:22:00,General,Facebook,Community Engagement ,42328,8936,Photo,0.2111132111132111,Friday,16
2023-03-31 16:20:00,General,Twitter,Community Engagement ,28260,1018,Photo,0.03602264685067233,Friday,16
2023-03-31 15:59:00,CSGO,Twitter,Community Engagement ,3793,72,Photo,0.018982335881887687,Friday,15
2023-03-31 15:48:00,General,Twitter,Community Engagement ,1927,155,Text,0.08043591074208614,Friday,15
2023-03-31 15:27:00,DOTA2,Twitter,N/A ,766,15,Text,0.0195822454308094,Friday,15
2023-03-31 15:27:00,General,Twitter,Community Engagement ,20434,231,Text,0.011304688264656944,Friday,15
2023-03-31 15:11:00,DOTA2,Twitter,N/A ,1242,28,Video,0.02254428341384863,Friday,15
2023-03-31 14:52:00,General,Twitter,Community Engagement ,311,10,Video,0.03215434083601286,Friday,14
2023-03-31 14:46:00,General,Twitter,Community Engagement ,33768,350,Photo,0.010364842454394693,Friday,14
2023-03-31 14:44:00,DOTA2,Twitter,N/A ,1154,23,Photo,0.01993067590987868,Friday,14
2023-03-31 14:42:00,General,Twitter,Community Engagement ,362,8,Text,0.022099447513812154,Friday,14
2023-03-31 14:41:00,DOTA2,Twitter,N/A ,762,23,Photo,0.030183727034120734,Friday,14
2023-03-31 14:40:00,General,Twitter,Community Engagement ,14123,166,Photo,0.011753876655101607,Friday,14
2023-03-31 14:30:00,DOTA2,Twitter,N/A ,21,3,Text,0.14285714285714285,Friday,14
2023-03-31 14:27:00,DOTA2,Twitter,N/A ,612,7,Text,0.011437908496732025,Friday,14
2023-03-31 14:27:00,General,Instagram,Community Engagement ,5579,0,Photo,0.0,Friday,14
2023-03-31 14:16:00,DOTA2,Twitter,N/A ,1048,42,Photo,0.04007633587786259,Friday,14
2023-03-31 14:05:00,DOTA2,Twitter,Community Engagement ,8619,288,Photo,0.033414549251653325,Friday,14
2023-03-31 14:05:00,General,Facebook,Community Engagement ,17222,952,Photo,0.05527813262106608,Friday,14
2023-03-31 14:03:00,General,Twitter,Community Engagement ,40108,540,Photo,0.013463648149995013,Friday,14
2023-03-31 13:36:00,General,Instagram,Evergreen ,1257,18,Video,0.014319809069212411,Friday,13
2023-03-31 13:36:00,General,TikTok,Evergreen ,145,4,Video,0.027586206896551724,Friday,13
2023-03-31 13:09:00,General,Twitter,Community Engagement ,2332,61,Video,0.026157804459691254,Friday,13
2023-03-31 13:00:00,DOTA2,Twitter,Community Engagement ,441,23,Photo,0.05215419501133787,Friday,13
2023-03-31 13:00:00,DOTA2,Twitter,Community Engagement ,7403,168,Photo,0.02269350263406727,Friday,13
2023-03-31 13:00:00,General,Facebook,Community Engagement ,36197,5408,Photo,0.1494046467939332,Friday,13
2023-03-31 12:00:00,General,Instagram,Community Engagement ,16930,499,Photo,0.02947430596574129,Friday,12
2023-03-31 12:00:00,General,Twitter,Community Engagement ,11682,167,Photo,0.014295497346344804,Friday,12
2023-03-31 11:30:00,General,Facebook,Community Engagement ,13774,1396,Photo,0.101350370262814,Friday,11
2023-03-31 11:30:00,General,Facebook,Community Engagement ,13774,1396,Photo,0.101350370262814,Friday,11
2023-03-31 11:30:00,General,Facebook,Community Engagement ,27547,2791,Photo,0.10131774784913057,Friday,11
2023-03-31 11:30:00,DOTA2,Twitter,Community Engagement ,2829,265,Photo,0.09367267585719335,Friday,11
2023-03-31 09:28:00,General,Instagram,Evergreen ,12911,157,Video,0.01216017349546898,Friday,9
2023-03-31 09:28:00,General,TikTok,Evergreen ,923,44,Video,0.047670639219934995,Friday,9
2023-03-31 08:36:00,DOTA2,Twitter,N/A ,338,14,Photo,0.04142011834319527,Friday,8
2023-03-30 18:42:00,CSGO,Twitter,Community Engagement ,998,20,Photo,0.02004008016032064,Thursday,18
2023-03-30 17:35:00,CSGO,Twitter,Community Engagement ,1322,12,Photo,0.009077155824508321,Thursday,17
2023-03-30 17:08:00,CSGO,Twitter,Community Engagement ,1416,231,Video,0.163135593220339,Thursday,17
2023-03-30 16:33:00,General,Facebook,Community Engagement ,21273,1994,Photo,0.09373384101913224,Thursday,16
